employee_id,employee_name,department,designation,employment_status,base_salary,overtime_hours,overtime_rate,attendance_days,working_days,attendance_status,salary_paid,salary_payment_date,exit_date,bank_account,salary_leakage_flag,overtime_abuse_flag,ghost_employee_flag,duplicate_salary_flag
EMP1017,Karthik,Support,Manager,Active,21140,12,217,5,26,Present,117927,2025-01-30,2024-12-04,85945874,Yes,No,No,No
EMP1018,Vijay,Finance,Senior Analyst,Active,44842,2,386,3,26,Present,127113,2025-01-15,2024-12-29,68434940,Yes,No,No,No
EMP1019,Divya,Operations,Manager,Active,46421,9,545,6,26,Present,104085,2025-01-07,2025-01-26,12449851,Yes,No,No,No
EMP1020,Deepak,Sales,Executive,Active,21708,37,343,18,26,Present,137996,2025-01-16,2024-12-01,83616416,No,Yes,No,No
EMP1021,Kavya,HR,Lead,Active,23630,0,461,16,26,Present,59220,2025-01-05,2025-01-12,52224873,No,No,No,No
EMP1022,Aishwarya,Operations,Executive,Active,39595,26,563,24,26,Present,142755,2025-01-16,2025-01-19,45996979,No,Yes,No,No
EMP1023,Rohit,Finance,Senior Analyst,Active,96021,7,438,15,26,Present,27642,2025-01-01,2025-01-15,78345832,No,No,No,No
EMP1024,Keerthana,Support,Lead,Active,48308,16,503,14,26,Present,99971,2025-01-19,2024-12-22,13078882,No,No,No,No
EMP1025,Rahul,Sales,Manager,Active,64789,8,497,21,26,Present,75556,2025-01-05,2024-12-11,61852741,No,No,No,No
EMP1026,Pavithra,Operations,Lead,Active,75690,5,275,7,26,Absent,53760,2025-01-07,2024-12-10,45542454,No,No,No,No
EMP1027,Rohit,HR,Analyst,Active,46086,24,387,18,26,Present,58192,2025-01-19,2025-01-28,73696235,No,No,No,No
EMP1028,Swathi,HR,Lead,Active,36859,38,532,7,26,Present,144257,2025-01-22,2024-12-17,67868029,Yes,Yes,No,No
EMP1029,Vijay,IT,Analyst,Active,27684,27,587,17,26,Present,24381,2025-01-05,2025-01-05,93149280,No,Yes,No,No
EMP1030,Karthik,IT,Lead,Active,111088,32,445,15,26,Present,116583,2025-01-29,2025-01-25,38218511,No,Yes,No,No
EMP1031,Kavya,Finance,Analyst,Active,21207,36,329,19,26,Present,39558,2025-01-17,2025-01-16,93382270,No,Yes,No,No
EMP1032,Manoj,Operations,Senior Analyst,Active,66099,8,514,18,26,Present,50782,2025-01-26,2024-12-26,65230489,No,No,No,Yes
EMP1033,Ramesh,Operations,Executive,Active,87496,17,482,9,26,Present,24782,2025-01-22,2025-01-17,85591080,No,No,No,No
EMP1034,Vijay,Support,Manager,Active,86093,20,278,16,26,Present,111417,2025-01-30,2024-12-21,71377257,No,No,No,No
EMP1035,Rohit,Support,Lead,Active,49689,1,271,12,26,Present,74712,2025-01-08,2024-12-13,21668300,No,No,No,No
EMP1036,Aishwarya,Support,Executive,Active,68651,37,462,12,26,Present,125764,2025-01-29,2024-12-09,35134254,No,Yes,No,No
EMP1037,Rohit,IT,Manager,Active,33893,39,390,6,26,Present,114945,2025-01-29,2024-12-11,36757444,Yes,Yes,No,No
EMP1038,Hari,Operations,Manager,Active,117808,35,566,9,26,Present,39462,2025-01-01,2024-12-11,66870756,No,Yes,No,No
EMP1039,Karthik,Operations,Analyst,Exited,86418,36,574,1,26,Missing,80030,2025-01-02,2024-12-06,13049307,No,Yes,Yes,No
EMP1040,Ganesh,HR,Senior Analyst,Active,80011,14,262,3,26,Present,88519,2025-01-30,2024-12-01,56465821,Yes,No,No,No
EMP1041,Santhosh,IT,Senior Analyst,Exited,58635,27,579,24,26,Present,76411,2025-01-15,2025-01-23,37729937,No,Yes,No,No
EMP1042,Aishwarya,Sales,Executive,Active,76115,17,211,5,26,Missing,75206,2025-01-20,2024-12-06,39859883,No,No,Yes,No
EMP1043,Praveen,IT,Senior Analyst,Active,115071,33,340,23,26,Present,117469,2025-01-28,2024-12-13,12801818,No,Yes,No,No
EMP1044,Karthik,Sales,Lead,Active,98405,21,453,17,26,Present,66950,2025-01-18,2024-12-22,99805666,No,No,No,No
EMP1045,Rohit,HR,Senior Analyst,Active,92702,10,242,22,26,Absent,22523,2025-01-11,2025-01-25,97931801,No,No,No,No
EMP1046,Manoj,Finance,Executive,Active,98518,12,216,5,26,Absent,80926,2025-01-25,2024-12-31,28640248,No,No,No,No
EMP1047,Anitha,Operations,Senior Analyst,Active,92805,3,262,24,26,Present,29677,2025-01-10,2024-12-22,48499046,No,No,No,No
EMP1048,Ajith,HR,Lead,Active,78954,21,452,22,26,Present,95828,2025-01-24,2025-01-06,51424699,No,No,No,No
EMP1049,Revathi,Operations,Analyst,Active,48064,6,575,16,26,Present,35089,2025-01-24,2025-01-16,63421457,No,No,No,No
EMP1050,Ganesh,Support,Executive,Active,99063,23,491,13,26,Missing,24581,2025-01-04,2024-12-27,57967799,No,No,Yes,No
EMP1051,Swathi,Finance,Analyst,Active,22454,3,207,23,26,Present,31907,2025-01-05,2025-01-19,90572446,No,No,No,No
EMP1052,Aishwarya,Finance,Analyst,Active,40878,27,524,10,26,Present,25609,2025-01-04,2025-01-21,78487012,No,Yes,No,No
EMP1053,Deepak,HR,Analyst,Active,71098,14,289,25,26,Absent,71153,2025-01-13,2024-12-14,25005563,No,No,No,No
EMP1054,Hari,Finance,Manager,Active,82154,0,407,18,26,Present,70539,2025-01-25,2025-01-16,23045088,No,No,No,No
EMP1055,Rahul,Sales,Manager,Active,32991,2,491,1,26,Present,64143,2025-01-13,2025-01-27,43793258,Yes,No,No,No
EMP1056,Praveen,Finance,Analyst,Active,88344,13,483,2,26,Present,42936,2025-01-18,2024-12-05,28494570,No,No,No,No
EMP1057,Priya,Operations,Executive,Exited,56593,37,317,10,26,Present,70182,2025-01-29,2025-01-27,35916606,No,Yes,No,No
EMP1058,Pavithra,Operations,Lead,Active,56304,0,548,5,26,Absent,128261,2025-01-27,2025-01-05,55844447,Yes,No,No,No
EMP1059,Priya,Operations,Lead,Active,50386,37,374,13,26,Present,131259,2025-01-24,2025-01-01,77590673,No,Yes,No,No
EMP1060,Ganesh,Operations,Senior Analyst,Active,75220,37,275,18,26,Absent,119524,2025-01-02,2025-01-03,36400656,No,Yes,No,No
EMP1061,Divya,Sales,Executive,Active,89338,20,300,25,26,Present,115042,2025-01-16,2024-12-07,51816801,No,No,No,No
EMP1062,Manoj,IT,Manager,Active,114289,28,350,15,26,Present,33163,2025-01-01,2025-01-11,34061606,No,Yes,No,No
EMP1063,Anitha,Support,Analyst,Active,41083,4,599,20,26,Missing,146686,2025-01-26,2025-01-17,47921641,No,No,Yes,No
EMP1064,Naveen,HR,Senior Analyst,Active,38354,9,469,21,26,Present,79758,2025-01-19,2024-12-10,70726516,No,No,No,No
EMP1065,Lakshmi,Operations,Lead,Active,42190,27,270,23,26,Present,66057,2025-01-09,2025-01-19,57204322,No,Yes,No,No
EMP1066,Meena,Finance,Manager,Active,26142,20,379,6,26,Present,32537,2025-01-28,2024-12-17,65748445,Yes,No,No,No
EMP1067,Manoj,Operations,Manager,Exited,48398,6,323,7,26,Absent,42419,2025-01-03,2024-12-30,38324386,No,No,No,No
EMP1068,Hari,Finance,Analyst,Active,71971,2,580,18,26,Present,62578,2025-01-25,2024-12-21,84655555,No,No,No,No
EMP1069,Anitha,Support,Lead,Active,61862,19,492,19,26,Present,94991,2025-01-07,2025-01-29,15611544,No,No,No,No
EMP1070,Praveen,Support,Executive,Active,118668,18,484,15,26,Present,141211,2025-01-29,2024-12-13,65701663,No,No,No,No
EMP1071,Ganesh,Support,Manager,Active,73410,34,394,21,26,Present,142762,2025-01-10,2024-12-01,12251347,No,Yes,No,No
EMP1072,Ajith,Finance,Analyst,Active,39503,3,598,6,26,Absent,94599,2025-01-01,2024-12-01,40991473,Yes,No,No,No
EMP1073,Rahul,Operations,Executive,Exited,68456,4,427,8,26,Present,20834,2025-01-10,2025-01-16,14792030,No,No,No,No
EMP1074,Ajith,Support,Lead,Active,102035,0,474,12,26,Present,52214,2025-01-21,2025-01-02,65230489,No,No,No,Yes
EMP1075,Ajith,Sales,Manager,Active,28016,3,305,0,26,Present,112934,2025-01-09,2025-01-07,29397109,Yes,No,No,No
EMP1076,Anitha,Finance,Executive,Active,22384,11,220,7,26,Present,143798,2025-01-28,2024-12-25,16702245,Yes,No,No,No
EMP1077,Santhosh,Finance,Executive,Active,82320,26,263,23,26,Missing,120028,2025-01-15,2024-12-26,18745662,No,Yes,Yes,No
EMP1078,Naveen,Operations,Executive,Active,35072,22,364,21,26,Present,141286,2025-01-15,2024-12-13,34173742,No,No,No,No
EMP1079,Vijay,Finance,Manager,Active,100018,24,226,3,26,Missing,22413,2025-01-03,2025-01-28,88000128,No,No,Yes,No
EMP1080,Priya,Finance,Manager,Active,60510,20,510,2,26,Present,29505,2025-01-25,2024-12-28,95768066,No,No,No,No
EMP1081,Revathi,Support,Senior Analyst,Active,68933,23,484,2,26,Present,140681,2025-01-05,2025-01-02,61321572,Yes,No,No,No
EMP1082,Manoj,Operations,Lead,Active,41826,24,347,21,26,Absent,122802,2025-01-09,2025-01-06,28742845,No,No,No,No
EMP1083,Manoj,Support,Analyst,Exited,88026,31,480,12,26,Present,22105,2025-01-26,2025-01-10,44657680,No,Yes,No,No
EMP1084,Anitha,Support,Executive,Active,45518,31,525,7,26,Present,88104,2025-01-22,2024-12-30,20023293,Yes,Yes,No,No
EMP1085,Aishwarya,Operations,Senior Analyst,Active,44045,4,518,6,26,Missing,148303,2025-01-09,2025-01-26,31040744,Yes,No,Yes,No
EMP1086,Lakshmi,HR,Analyst,Active,70876,35,363,0,26,Present,127634,2025-01-23,2025-01-18,34993085,Yes,Yes,No,No
EMP1087,Rohit,Support,Senior Analyst,Active,112446,38,585,15,26,Present,134897,2025-01-07,2025-01-17,86527394,No,Yes,No,No
EMP1088,Nithya,Sales,Manager,Active,110102,15,423,5,26,Present,78408,2025-01-24,2024-12-08,18623353,No,No,No,No
EMP1089,Priya,Sales,Executive,Active,71919,32,471,6,26,Present,57679,2025-01-23,2025-01-18,58289292,No,Yes,No,No
EMP1090,Geetha,Finance,Analyst,Active,119441,20,345,11,26,Present,136908,2025-01-12,2025-01-16,65230489,No,No,No,Yes
EMP1091,Divya,Sales,Analyst,Active,47103,8,555,22,26,Present,134921,2025-01-25,2025-01-25,65230489,No,No,No,Yes
EMP1092,Suresh,Finance,Analyst,Active,56188,5,229,8,26,Present,119096,2025-01-27,2024-12-01,45372654,Yes,No,No,No
EMP1093,Pavithra,HR,Analyst,Active,25845,34,244,10,26,Absent,99731,2025-01-09,2024-12-12,99296767,No,Yes,No,No
EMP1094,Ramesh,Operations,Analyst,Active,106698,38,474,9,26,Present,132205,2025-01-06,2024-12-05,51753855,Yes,Yes,No,No
EMP1095,Santhosh,Operations,Senior Analyst,Active,56674,21,233,20,26,Present,85131,2025-01-23,2024-12-24,94449586,No,No,No,No
EMP1096,Nithya,Operations,Executive,Active,39337,4,340,0,26,Present,84280,2025-01-02,2024-12-06,18904337,Yes,No,No,No
EMP1097,Divya,Sales,Manager,Active,42313,22,517,17,26,Present,35762,2025-01-09,2024-12-25,38077868,No,No,No,No
EMP1098,Arun,HR,Manager,Exited,46943,16,573,3,26,Present,137798,2025-01-28,2024-12-01,68582691,Yes,No,No,No
EMP1099,Keerthana,Sales,Manager,Active,97949,11,420,4,26,Absent,136854,2025-01-29,2024-12-25,99159977,Yes,No,No,No
EMP1100,Arun,Sales,Manager,Active,20276,22,555,8,26,Present,126830,2025-01-17,2024-12-01,55056232,Yes,No,No,No
EMP1101,Praveen,HR,Senior Analyst,Active,71151,15,221,16,26,Absent,78703,2025-01-01,2025-01-01,10354182,No,No,No,No
EMP1102,Arun,HR,Lead,Active,37611,2,379,2,26,Absent,101434,2025-01-19,2025-01-11,48697230,Yes,No,No,No
EMP1103,Manoj,HR,Executive,Active,31944,29,566,15,26,Present,83079,2025-01-28,2025-01-11,72289191,No,Yes,No,No
EMP1104,Swathi,HR,Analyst,Active,72887,21,528,4,26,Present,41577,2025-01-06,2024-12-03,62829650,No,No,No,No
EMP1105,Aishwarya,Operations,Lead,Active,101442,8,430,15,26,Present,21214,2025-01-05,2025-01-18,53985572,No,No,No,No
EMP1106,Santhosh,IT,Manager,Active,69847,28,237,2,26,Present,106339,2025-01-02,2024-12-19,73861441,Yes,Yes,No,No
EMP1107,Naveen,IT,Lead,Active,78653,36,269,19,26,Absent,68114,2025-01-09,2025-01-29,46471017,No,Yes,No,No
EMP1108,Rohit,HR,Executive,Active,106072,22,315,14,26,Absent,109234,2025-01-30,2025-01-12,28351471,No,No,No,No
EMP1109,Lakshmi,IT,Analyst,Active,76622,12,438,2,26,Present,83230,2025-01-29,2024-12-29,17012022,Yes,No,No,No
EMP1110,Rohit,IT,Analyst,Active,47810,31,534,19,26,Present,143163,2025-01-26,2025-01-19,64111052,No,Yes,No,No
EMP1111,Santhosh,HR,Executive,Active,97842,22,347,13,26,Missing,52980,2025-01-14,2024-12-02,32324455,No,No,Yes,No
EMP1112,Nithya,IT,Executive,Active,30503,16,208,15,26,Missing,87194,2025-01-04,2024-12-09,58838504,No,No,Yes,No
EMP1113,Priya,Sales,Manager,Active,104761,39,487,16,26,Present,97806,2025-01-04,2025-01-25,39649386,No,Yes,No,No
EMP1114,Geetha,Finance,Analyst,Active,56976,20,587,23,26,Present,132333,2025-01-21,2024-12-17,49464554,No,No,No,No
EMP1115,Rohit,Finance,Lead,Active,31590,1,249,19,26,Present,57792,2025-01-15,2025-01-29,23482486,No,No,No,No
EMP1116,Geetha,HR,Senior Analyst,Active,30886,36,537,22,26,Missing,65807,2025-01-08,2025-01-15,47068510,No,Yes,Yes,No
EMP1117,Keerthana,Operations,Senior Analyst,Active,32866,5,204,17,26,Present,144297,2025-01-26,2025-01-05,55658703,No,No,No,No
EMP1118,Swathi,HR,Executive,Active,86624,17,542,17,26,Present,145266,2025-01-04,2024-12-17,72341865,No,No,No,No
EMP1119,Arun,Operations,Manager,Active,88899,29,325,21,26,Present,42301,2025-01-16,2025-01-18,49517564,No,Yes,No,No
EMP1120,Pavithra,Finance,Senior Analyst,Active,52792,21,274,13,26,Present,25141,2025-01-21,2024-12-12,62995767,No,No,No,No
EMP1121,Meena,HR,Analyst,Active,29764,32,364,17,26,Present,136482,2025-01-28,2025-01-29,19699755,No,Yes,No,No
EMP1122,Naveen,Support,Executive,Active,106156,29,477,14,26,Missing,124292,2025-01-04,2024-12-20,26644741,No,Yes,Yes,No
EMP1123,Nithya,Sales,Lead,Active,62727,16,523,14,26,Present,142984,2025-01-30,2025-01-19,28875167,No,No,No,No
EMP1124,Divya,IT,Executive,Active,98471,31,499,5,26,Present,33777,2025-01-16,2024-12-03,36702025,No,Yes,No,No
EMP1125,Ramesh,Operations,Lead,Active,28068,13,489,14,26,Present,58346,2025-01-22,2025-01-12,18927377,No,No,No,No
EMP1126,Nithya,Support,Executive,Active,27295,9,276,17,26,Present,74703,2025-01-12,2025-01-26,77396419,No,No,No,No
EMP1127,Keerthana,IT,Executive,Active,61160,35,497,3,26,Present,114977,2025-01-16,2025-01-19,70521086,Yes,Yes,No,No
EMP1128,Arun,IT,Executive,Active,31390,33,336,22,26,Present,67819,2025-01-19,2024-12-04,65230489,No,Yes,No,Yes
EMP1129,Sneha,HR,Lead,Active,40131,8,305,7,26,Present,48469,2025-01-08,2024-12-17,46298886,Yes,No,No,No
EMP1130,Karthik,IT,Lead,Active,114754,27,294,14,26,Present,23845,2025-01-06,2025-01-19,35574001,No,Yes,No,No
EMP1131,Santhosh,Sales,Executive,Active,95969,10,334,2,26,Present,130186,2025-01-10,2025-01-06,13197418,Yes,No,No,No
EMP1132,Divya,Support,Senior Analyst,Active,35038,13,267,14,26,Present,43290,2025-01-05,2025-01-15,21509800,No,No,No,No
EMP1133,Hari,IT,Manager,Active,72327,38,346,12,26,Missing,132551,2025-01-29,2025-01-11,79897511,No,Yes,Yes,No
EMP1134,Meena,HR,Manager,Active,113718,18,358,8,26,Missing,50699,2025-01-18,2024-12-15,83333762,No,No,Yes,No
EMP1135,Geetha,Sales,Manager,Exited,97064,14,583,1,26,Present,64252,2025-01-10,2025-01-02,83487248,No,No,No,No
EMP1136,Arun,Finance,Lead,Active,41281,27,362,23,26,Present,118682,2025-01-10,2024-12-16,28347713,No,Yes,No,No
EMP1137,Praveen,Support,Lead,Active,74189,23,540,7,26,Missing,23293,2025-01-07,2024-12-11,63023853,No,No,Yes,No
EMP1138,Suresh,IT,Senior Analyst,Active,68511,7,388,19,26,Present,138017,2025-01-18,2025-01-24,76346204,No,No,No,No
EMP1139,Ganesh,HR,Manager,Active,28605,8,538,16,26,Absent,139496,2025-01-01,2024-12-20,61754419,No,No,No,No
EMP1140,Ajith,Finance,Manager,Active,21381,32,294,12,26,Missing,129934,2025-01-07,2025-01-07,33722901,No,Yes,Yes,No
EMP1141,Revathi,Finance,Executive,Active,86634,32,380,0,26,Present,77089,2025-01-21,2024-12-24,68550264,No,Yes,No,No
EMP1142,Keerthana,Operations,Lead,Active,39810,18,487,1,26,Present,131964,2025-01-01,2025-01-23,68061043,Yes,No,No,No
EMP1143,Vijay,Sales,Manager,Active,44322,2,521,14,26,Missing,36608,2025-01-15,2024-12-16,51831301,No,No,Yes,No
EMP1144,Nithya,IT,Senior Analyst,Active,61869,9,386,11,26,Present,148713,2025-01-04,2024-12-30,94741514,No,No,No,No
EMP1145,Deepak,HR,Senior Analyst,Active,52955,39,571,13,26,Present,86273,2025-01-28,2025-01-03,10308697,No,Yes,No,No
EMP1146,Meena,Operations,Manager,Active,81388,0,337,24,26,Present,36619,2025-01-29,2024-12-01,88908432,No,No,No,No
EMP1147,Ganesh,Sales,Lead,Active,30207,28,329,1,26,Present,98006,2025-01-20,2024-12-24,65230489,Yes,Yes,No,Yes
EMP1148,Ganesh,Operations,Senior Analyst,Active,107329,33,393,17,26,Present,135399,2025-01-10,2024-12-24,65051355,No,Yes,No,No
EMP1149,Ganesh,Support,Executive,Active,87628,12,515,21,26,Present,107908,2025-01-23,2024-12-09,17279074,No,No,No,No
EMP1150,Nithya,Sales,Senior Analyst,Active,48220,0,472,6,26,Missing,101653,2025-01-09,2024-12-22,56860830,Yes,No,Yes,No
EMP1151,Sneha,Sales,Analyst,Active,104050,33,551,22,26,Present,34779,2025-01-02,2024-12-12,53585013,No,Yes,No,No
EMP1152,Lakshmi,IT,Analyst,Active,94085,28,343,24,26,Present,71040,2025-01-28,2024-12-17,66363938,No,Yes,No,No
EMP1153,Shalini,Sales,Lead,Active,42031,12,215,5,26,Present,114830,2025-01-14,2024-12-25,47758158,Yes,No,No,No
EMP1154,Rohit,Operations,Manager,Active,90721,28,501,13,26,Present,76325,2025-01-16,2024-12-28,91963626,No,Yes,No,No
EMP1155,Deepak,Sales,Lead,Active,100807,38,444,7,26,Present,135947,2025-01-01,2024-12-15,42070801,Yes,Yes,No,No
EMP1156,Deepak,IT,Lead,Active,91312,23,306,21,26,Missing,41630,2025-01-02,2024-12-30,27619822,No,No,Yes,No
EMP1157,Sneha,IT,Lead,Active,79766,25,287,1,26,Absent,125575,2025-01-07,2025-01-20,66064100,Yes,No,No,No
EMP1158,Karthik,Support,Lead,Exited,32449,16,328,16,26,Present,135436,2025-01-29,2024-12-27,47425981,No,No,No,No
EMP1159,Karthik,Operations,Executive,Active,109833,6,594,4,26,Present,32178,2025-01-10,2024-12-22,65966960,No,No,No,No
EMP1160,Meena,Finance,Executive,Active,76699,12,574,13,26,Present,39935,2025-01-22,2024-12-10,25333352,No,No,No,No
EMP1161,Suresh,Finance,Senior Analyst,Active,101253,4,540,24,26,Present,67258,2025-01-20,2025-01-27,97585526,No,No,No,No
EMP1162,Suresh,Sales,Analyst,Active,66092,25,203,23,26,Present,42784,2025-01-01,2024-12-31,64554786,No,No,No,No
EMP1163,Hari,Support,Lead,Exited,83671,2,526,19,26,Present,83722,2025-01-13,2024-12-27,27325939,No,No,No,No
EMP1164,Divya,HR,Senior Analyst,Active,30350,6,566,20,26,Missing,43027,2025-01-01,2024-12-12,97119020,No,No,Yes,No
EMP1165,Priya,Sales,Analyst,Active,116158,38,505,20,26,Present,116544,2025-01-05,2025-01-15,71254178,No,Yes,No,No
EMP1166,Karthik,Support,Manager,Active,88487,0,595,21,26,Present,77853,2025-01-16,2024-12-31,31550363,No,No,No,No
EMP1167,Suresh,Operations,Executive,Active,37622,16,294,2,26,Absent,132167,2025-01-15,2025-01-01,89706492,Yes,No,No,No
EMP1168,Ganesh,Operations,Analyst,Active,90263,24,408,4,26,Present,87359,2025-01-17,2025-01-01,69829093,No,No,No,No
EMP1169,Praveen,Operations,Manager,Active,73117,2,424,15,26,Present,92388,2025-01-28,2025-01-10,43052558,No,No,No,No
EMP1170,Hari,Operations,Analyst,Active,78394,14,547,17,26,Present,98608,2025-01-23,2025-01-28,49466516,No,No,No,No
EMP1171,Santhosh,Operations,Executive,Active,43782,28,520,25,26,Present,96669,2025-01-16,2025-01-14,52635059,No,Yes,No,No
EMP1172,Divya,Support,Executive,Exited,48454,31,246,16,26,Absent,35111,2025-01-13,2025-01-04,17355554,No,Yes,No,No
EMP1173,Karthik,Support,Senior Analyst,Active,87904,25,380,10,26,Present,52312,2025-01-11,2025-01-22,65230489,No,No,No,Yes
EMP1174,Swathi,IT,Lead,Active,35592,15,305,16,26,Absent,149321,2025-01-17,2025-01-15,61772000,No,No,No,No
EMP1175,Kavya,Finance,Analyst,Active,42173,24,398,15,26,Present,44161,2025-01-17,2024-12-21,20297650,No,No,No,No
EMP1176,Deepak,Operations,Analyst,Exited,53204,27,585,25,26,Present,138920,2025-01-02,2024-12-10,11877330,No,Yes,No,No
EMP1177,Karthik,HR,Manager,Active,55596,8,305,22,26,Absent,124823,2025-01-13,2024-12-16,92118710,No,No,No,No
EMP1178,Rahul,Support,Executive,Active,54324,0,479,1,26,Present,145014,2025-01-14,2024-12-07,48636502,Yes,No,No,No
EMP1179,Nithya,HR,Analyst,Active,81202,28,459,3,26,Present,87313,2025-01-11,2024-12-04,52498174,Yes,Yes,No,No
EMP1180,Ajith,HR,Executive,Active,109400,21,307,20,26,Present,70374,2025-01-28,2024-12-27,65386027,No,No,No,No
EMP1181,Suresh,HR,Analyst,Active,50750,15,218,6,26,Present,44014,2025-01-10,2025-01-21,67600704,No,No,No,No
EMP1182,Hari,IT,Senior Analyst,Active,96112,6,495,1,26,Present,100308,2025-01-03,2025-01-24,32985303,Yes,No,No,No
EMP1183,Ramesh,Support,Lead,Active,36566,13,505,5,26,Present,66389,2025-01-29,2024-12-25,57472463,Yes,No,No,No
EMP1184,Rohit,HR,Analyst,Active,27190,28,370,16,26,Present,130163,2025-01-27,2024-12-31,73645080,No,Yes,No,No
EMP1185,Lakshmi,Operations,Executive,Active,108607,18,530,6,26,Present,38161,2025-01-17,2024-12-11,94934358,No,No,No,No
EMP1186,Aishwarya,Sales,Senior Analyst,Active,58333,18,394,24,26,Missing,127800,2025-01-15,2025-01-17,34269034,No,No,Yes,No
EMP1187,Keerthana,HR,Analyst,Active,100905,1,211,4,26,Present,27490,2025-01-09,2024-12-20,65549623,No,No,No,No
EMP1188,Geetha,IT,Manager,Active,109571,14,394,4,26,Absent,139547,2025-01-10,2025-01-05,38609573,Yes,No,No,No
EMP1189,Vijay,Support,Lead,Active,21589,2,482,19,26,Present,127197,2025-01-08,2025-01-23,68804362,No,No,No,No
EMP1190,Divya,IT,Analyst,Active,45235,10,568,15,26,Present,44502,2025-01-21,2025-01-23,36816706,No,No,No,No
EMP1191,Ganesh,HR,Senior Analyst,Active,20159,29,381,18,26,Absent,55757,2025-01-13,2025-01-24,87522688,No,Yes,No,No
EMP1192,Meena,Support,Manager,Active,32145,39,504,8,26,Present,61111,2025-01-27,2024-12-17,20082304,Yes,Yes,No,No
EMP1193,Arun,Sales,Senior Analyst,Active,100909,17,343,4,26,Present,118273,2025-01-18,2025-01-14,75622576,Yes,No,No,No
EMP1194,Arun,HR,Senior Analyst,Active,51921,1,585,7,26,Present,103245,2025-01-05,2024-12-11,91519304,Yes,No,No,No
EMP1195,Pavithra,IT,Manager,Active,36237,31,515,8,26,Present,78645,2025-01-06,2024-12-30,49813657,Yes,Yes,No,No
EMP1196,Priya,Finance,Senior Analyst,Active,28244,7,381,4,26,Present,130218,2025-01-30,2025-01-04,27504684,Yes,No,No,No
EMP1197,Nithya,Operations,Manager,Active,34743,21,229,9,26,Present,79055,2025-01-17,2025-01-10,95950698,Yes,No,No,No
EMP1198,Deepak,IT,Analyst,Active,117102,5,283,24,26,Absent,139815,2025-01-11,2025-01-07,89784284,No,No,No,No
EMP1199,Naveen,Support,Manager,Exited,66101,11,365,1,26,Present,28998,2025-01-20,2024-12-22,30231923,No,No,No,No
EMP1200,Hari,HR,Manager,Active,104227,39,483,8,26,Missing,48906,2025-01-16,2025-01-22,71536101,No,Yes,Yes,No
EMP1201,Revathi,Operations,Lead,Active,119532,35,480,10,26,Missing,121026,2025-01-09,2025-01-12,23747550,No,Yes,Yes,No
EMP1202,Deepak,HR,Manager,Active,76378,14,295,3,26,Present,90192,2025-01-02,2025-01-17,37068277,Yes,No,No,No
EMP1203,Rahul,Support,Manager,Active,91126,27,580,21,26,Present,70477,2025-01-05,2025-01-20,83393043,No,Yes,No,No
